순위,종목명,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
107,한화엔진,"51,400","상승 2,650",+5.44%,"548,830","28,530","42,892"
108,넷마블,"52,100",상승 700,+1.36%,"53,168","2,789","42,701"
109,한화생명,"4,880",하락 90,-1.81%,"1,760,695","8,606","42,384"
110,한온시스템,"3,955",하락 100,-2.47%,"2,053,129","8,149","40,589"
111,강원랜드,"18,130",하락 10,-0.06%,"95,717","1,736","38,787"
112,SKC,"101,000","하락 1,100",-1.08%,"24,911","2,516","38,247"
113,LG생활건강,"244,000","하락 2,500",-1.01%,"6,894","1,680","37,338"
114,영원무역,"83,000","상승 1,200",+1.47%,"9,152",749,"36,779"
115,OCI홀딩스,"189,700","상승 6,900",+3.77%,"103,942","20,050","35,417"
116,현대엘리베이터,"87,500",하락 500,-0.57%,"18,551","1,625","34,206"
117,롯데케미칼,"79,800",보합0,0.00%,"35,020","2,795","34,135"
118,SK바이오사이언스,"43,350",상승 550,+1.29%,"17,408",756,"34,001"
119,금호석유화학,"128,500","하락 1,500",-1.15%,"8,555","1,107","33,451"
120,한국가스공사,"36,050",상승 50,+0.14%,"29,845","1,074","33,279"
121,한올바이오파마,"63,600","상승 5,700",+9.84%,"434,077","26,678","33,225"
122,에스원,"87,300",상승 400,+0.46%,"7,839",686,"33,173"
123,CJ제일제당,"219,000",보합0,0.00%,"5,875","1,278","32,969"
124,한솔케미칼,"289,000","상승 6,500",+2.30%,"12,264","3,526","32,860"
125,롯데쇼핑,"115,100","상승 3,800",+3.41%,"31,701","3,615","32,560"
126,신세계,"335,000","하락 2,000",-0.59%,"3,603","1,202","32,311"
127,롯데지주,"30,650",하락 450,-1.45%,"52,747","1,616","32,155"
128,영원무역홀딩스,"223,500","상승 3,000",+1.36%,"2,813",621,"30,171"
129,이수스페셜티케미컬,"94,200","상승 3,200",+3.52%,"135,906","12,806","28,466"
130,에스엘,"60,100",하락 900,-1.48%,"17,860","1,067","27,916"
131,현대해상,"31,100","하락 1,050",-3.27%,"101,382","3,186","27,803"
132,HD현대마린엔진,"81,700","상승 4,200",+5.42%,"315,141","25,904","27,714"
133,한전KPS,"61,500","하락 1,300",-2.07%,"52,571","3,239","27,675"
134,iM금융지주,"17,060",상승 80,+0.47%,"44,793",763,"27,403"
135,동서,"27,100",하락 100,-0.37%,"14,415",389,"27,019"
136,풍산,"96,400","하락 1,800",-1.83%,"54,748","5,290","27,015"
137,이마트,"97,700",하락 800,-0.81%,"42,072","4,105","26,961"
138,팬오션,"5,040",하락 40,-0.79%,"412,541","2,081","26,942"
139,씨에스윈드,"62,300","하락 1,000",-1.58%,"204,249","12,925","26,273"
140,한미사이언스,"38,400",상승 700,+1.86%,"24,990",953,"26,262"
141,DL이앤씨,"66,900","하락 2,400",-3.46%,"663,106","44,640","25,886"
142,세아베스틸지주,"71,200","하락 1,300",-1.79%,"86,966","6,175","25,534"
143,한국앤컴퍼니,"26,750",하락 850,-3.08%,"18,384",495,"25,395"
144,CJ대한통운,"110,700","하락 1,400",-1.25%,"5,078",563,"25,253"
145,HL만도,"51,800",하락 600,-1.15%,"42,963","2,231","24,324"
146,F&F,"61,500","하락 1,300",-2.07%,"13,134",812,"23,559"
147,제일기획,"20,050",보합0,0.00%,"56,719","1,138","23,066"
148,DN오토모티브,"39,350",상승 150,+0.38%,"36,297","1,424","23,024"
149,농심,"375,000","하락 3,500",-0.92%,"2,980","1,115","22,810"
150,GS건설,"26,600",하락 800,-2.92%,"652,380","17,343","22,765"
151,코오롱인더,"81,600","상승 2,800",+3.55%,"114,886","9,246","22,456"
152,현대위아,"82,500",하락 100,-0.12%,"16,196","1,330","22,436"
153,한국카본,"43,100","상승 1,250",+2.99%,"597,666","26,197","22,373"
154,코스맥스,"193,700","하락 2,600",-1.32%,"8,288","1,617","21,984"
155,미스토홀딩스,"40,300","하락 1,900",-4.50%,"34,806","1,405","21,396"
156,아모레퍼시픽홀딩스,"28,050",하락 300,-1.06%,"21,168",594,"21,447"
157,BGF리테일,"123,100",상승 200,+0.16%,"6,183",759,"21,276"
158,현대백화점,"84,100","하락 2,700",-3.11%,"13,944","1,186","19,031"
159,대웅제약,"163,400","상승 4,000",+2.51%,"8,403","1,364","18,932"
160,한국콜마,"78,750",하락 850,-1.07%,"37,574","2,949","18,589"
161,SK아이이테크놀로지,"21,650",하락 450,-2.04%,"29,304",639,"17,707"
162,동원산업,"40,100",상승 100,+0.25%,"7,568",302,"17,703"
163,금호타이어,"6,120",하락 100,-1.61%,"78,187",477,"17,580"
164,녹십자,"150,400","상승 1,400",+0.94%,"8,297","1,245","17,577"
165,GS리테일,"20,800",상승 200,+0.97%,"18,699",388,"17,390"
166,효성티앤씨,"393,000","상승 8,000",+2.08%,"9,998","3,947","17,008"
167,호텔신라,"42,200",하락 500,-1.17%,"43,294","1,823","16,563"
168,파라다이스,"17,410",상승 440,+2.59%,"175,345","3,028","16,127"
169,오리온홀딩스,"24,900",상승 50,+0.20%,"24,254",603,"15,599"
170,오뚜기,"365,500","하락 5,000",-1.35%,"1,107",404,"14,649"
171,대웅,"25,100",상승 800,+3.29%,"31,414",782,"14,594"
172,롯데정밀화학,"51,800","상승 1,200",+2.37%,"14,814",761,"13,364"
173,태광산업,"1,194,000","하락 17,000",-1.40%,496,591,"13,294"
174,DL,"61,000","상승 2,800",+4.81%,"56,464","3,403","12,783"
175,종근당,"91,900","상승 2,100",+2.34%,"11,677","1,069","12,685"
176,한일시멘트,"16,790",하락 220,-1.29%,"17,988",303,"12,348"
177,하이트진로,"16,560",하락 100,-0.60%,"44,638",739,"11,614"
178,영풍,"62,100",하락 700,-1.11%,"11,868",733,"11,226"
179,롯데칠성,"118,950",하락 950,-0.79%,"2,778",330,"11,037"
180,더블유게임즈,"50,200",보합0,0.00%,"3,671",184,"10,629"
181,롯데웰푸드,"114,100",하락 700,-0.61%,"3,078",351,"10,617"
182,지역난방공사,"91,500",상승 300,+0.33%,"10,790",984,"10,595"
183,한샘,"43,400",하락 200,-0.46%,"3,750",162,"10,214"
184,HS효성첨단소재,"222,500","하락 2,000",-0.89%,"1,891",422,"9,968"
185,에스디바이오센서,"8,070",상승 140,+1.77%,"25,231",202,"9,825"
186,SK케미칼,"55,800",하락 400,-0.71%,"7,262",408,"9,653"
187,대한유화,"134,500","하락 1,200",-0.88%,"5,819",784,"8,742"
188,세방전지,"60,800",하락 600,-0.98%,"4,071",247,"8,427"
189,후성,"7,450",상승 110,+1.50%,"109,156",806,"7,991"
190,세아제강지주,"185,300","하락 1,500",-0.80%,"12,637","2,381","7,674"
191,동원시스템즈,"26,350",하락 300,-1.13%,"12,044",316,"7,639"
192,TKG휴켐스,"18,540",하락 120,-0.64%,"12,928",239,"7,579"
193,GKL,"12,000",보합0,0.00%,"41,188",492,"7,423"
194,대상,"20,950",하락 100,-0.48%,"28,147",589,"7,259"
195,녹십자홀딩스,"14,150",상승 20,+0.14%,"22,777",324,"6,654"
196,미원상사,"135,900",하락 700,-0.51%,"1,429",195,"6,455"
197,미원에스씨,"125,800","하락 2,700",-2.10%,"1,857",233,"6,290"
198,율촌화학,"24,050",상승 350,+1.48%,"20,365",483,"5,964"
199,코스모화학,"15,320",상승 130,+0.86%,"58,636",896,"5,884"
200,아세아,"274,000","하락 4,500",-1.62%,358,98,"5,679"
